Name,Text,Theme
ЛИНЕЙНАЯ АЛГЕБРА И ГЕОМЕТРИЯ ,"   Цели и задачи освоения дисциплины В РПД представлены как традиционные разделы аналитической геометрии и векторной алгебры теории матриц теории линейных систем и конечномерных векторных пространств важные для студентов компьютерных специальностей Изучение аналитической геометрии строится на базе векторной алгебры Цели и задачи освоения дисциплины  Цель курса  освоение студентами фундаментальных знаний в области линейной алгебры и аналитической геометрии изучение способов решения задач методами линейной алгебры и аналитической геометрии  Основная задача данного курса  формирование базовых знаний в области линейной алгебры и аналитической геометрии как дисциплины интегрирующей общематематическую подготовку специалистов в области ITтехнологий и обеспечивающей технологические основы современных инновационных сфер деятельности  11 Место дисциплины в структуре образовательной программы    Данная дисциплина входит в блок Б1 Дисциплины модули обязательная часть Для успешного освоения дисциплины необходимо изучить математику по программе средней общеобразовательной школы  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины  Код и наименование компетенции из ФГОС ВО Код и наименование части компетенции  при наличии паспорта компетенций Планируемые результаты обучения   знаниевыефункциональные ОПК1 Способность применять фундаментальные знания полученные в области математики и или естественных наук и использовать их в профессиональной деятельности ОПК1 Знает возможности применения информационнокоммуникационных технологий при изучении математики Умеет работать с основными программными продуктами информационнокоммуникационных технологий при изучении математики вести поиск информации в сети Интернет ОПК2 Способен применять  современный математический аппарат связанный с проектированием разработкой реализацией и оценкой качества ОПК2 Знает место модуля Линейная алгебра и геометрия среди других изучаемых дисциплин и его значение при изучении последующих курсов алгебру матриц основные характеристики матриц их определения и свойства ', ' 4  программных продуктов и программных комплексов в различных областях человеческой деятельности методы решения систем линейных алгебраических уравнений основы векторной алгебры свойства и уравнения основных геометрических объектов Умеет использовать знания  изучаемой дисциплины для решения некоторых  профессиональных задач   2 Структура и объем дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 1 Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации зачет диф зачет экзамен  Зачет  3 ",MATH
МАТЕМАТИЧЕСКИЕ ОСНОВЫ АНАЛИЗА ДАННЫХ ," Дисциплина Математические основы анализа данных обеспечивает приобретение знаний и умений в соответствии с государственным образовательным стандартом содействует повышению уровня фундаментализации образования формированию математической культуры студента Цель дисциплины сформировать у обучающихся представление о математических основах необходимое для понимания методов машинного обучения и анализа данных их ограничений областей применения и принципов построения  Задачи дисциплины  повысить математическую культуру студента  развить базовый математический аппарат необходимый для построения математических моделей процессов и систем в задачах компьютерной реализации систем получения анализа обработки данных и машинного обучения  сформировать комплекс знаний по теоретическим основам методов анализа данных статистическим методам  привить систему навыков работы с большими массивами информации снижения размерности информационного пространства  11  Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в блок Б1 Базовая часть Для освоения данной дисциплины необходимы знания и умения приобретенные обучающимися в результате освоения следующих предшествующих данной дисциплин Дискретная математика и исследование операций Линейная алгебра и геометрия Дополнительные главы математического анализа Языки программирования Объектноориентированное программирование Компетенции приобретённые при освоении данной дисциплины будут полезны при изучении дисциплин Математические основы искусственных нейронных сетей Математическое моделирование природных систем Методы и технологии машинного обучения а также при выполнении научно исследовательской работы и ВКР в которых важным элементом является анализ и обработка данных  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование компетенции Планируемые результаты обучения  знаниевыефункциональные ОПК1 Способность применять фундаментальные знания полученные в области математики и или естественных наук и использовать их в профессиональной деятельности Знает  актуальные проблемы организации проверки внешних данных для информационных систем и принципы предобработки и статистического анализа этих данных приёмы и методы оценки взаимосвязи данных между собой и с исследуемым процессом Умеет  читать и понимать литературу по современным теоретическим методам анализа данных выбирать вид анализа данных в зависимости от их характера и типа решаемых задач ОПК2 Способен применять  современный математический аппарат связанный с проектированием разработкой реализацией и оценкой качества Знает  основные задачи и результаты современной математики используемые для решения теоретических задач анализа многомерных данных и лежащих в основе современных методов анализа данных математические модели ', '4 программных продуктов и программных комплексов в различных областях человеческой деятельности описывающие характер влияния факторов на результативный признак Умеет  использовать современные математические методы для формулирования и решения теоретических задач анализа данных  разрабатывать методы и алгоритмы анализа данных на основе решения соответствующих теоретических задач  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 3 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам   Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации экзамен  Зачёт  3 ",BIGDATA MATH
МАТЕМАТИЧЕСКИЕ ОСНОВЫ ИСКУССТВЕННЫХ НЕЙРОННЫХ СЕТЕЙ ," Дисциплина Математические основы искусственных нейронных сетей входит в базовую часть учебного плана направления Математическое обеспечение и администрирование информационных систем Знание дисциплины Математические основы искусственных нейронных сетей содействует формированию математической культуры студента овладению им принципами моделями и технологиями создания и функционирования искусственных нейронных сетей Целью освоения дисциплины являются формирование навыков и умений создания студентами математических моделей процессов и явлений с использованием нейронных сетей знакомство с моделями управления на базе систем использующих нейронные сети изучение методов формализации процессов и явлений в понятийном аппарате нейроматематики  Задачи дисциплины  обучение навыкам правильной постановки задач требующих для решения искусственных нейронных сетей  освоение подходов к описанию данных необходимых для решения задачи  освоение подготовки и анализа исходных данных  знакомство с основными архитектурами искусственных нейронных сетей  знакомство с областями применения искусственных нейронных сетей  обучение навыкам работы с нейросетевыми моделями  обучение навыкам анализа результатов полученного решения  освоение инструментов для разработки моделей машинного обучения  11  Место дисциплины модуля в структуре образовательной программы Данная дисциплина входит в блок Б1 Базовая часть Для освоения дисциплины необходимы первоначальные знания из курсов линейной алгебры математического анализа математических основ анализа данных методов и технологий машинного обучения Знания и умения приобретенные в ходе освоения дисциплины могут быть использованы при освоении курсов архитектура систем обработки больших данных компьютерное зрение обработка и анализ текста на естественных языках и других дисциплин характер которых предполагает применение нейросетевых моделей для решения задач регрессии и классификации обработку больших данных обработку визуальной информации Кроме того студент может использовать приобретённые компетенции при выполнении курсовых и дипломных работ в которых важным элементом является интеллектуальная обработка изображений и других данных с помощью глубоких нейронных сетей  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование компетенции Планируемые результаты обучения знаниевыефункциональные ОПК3 Способен применять современные информационные технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения Знает алгоритмы обучения нейронных сетей проблемы их применения и направления развития подходов к обучению сетей основные прикладные проблемы решаемые с помощью нейронных сетей Умеет навыками планирования и проведения экспериментальных исследований с целью получения оптимальных параметров нейронных сетей ', ' ОПК2 Способен применять современный математический аппарат связанный с проектированием разработкой реализацией и оценкой качества программных продуктов и программных комплексов в различных областях человеческой деятельности Знает общую методологию синтеза структуры нейронной сети для решения прикладных задач классификацию видов и архитектур искусственных нейронных сетей методы их адаптации для решения конкретной задачи и тестирования основы построения моделей искусственных нейронных сетей Умеет использовать современные математические методы для формулирования и решения теоретических задач искусственного интеллекта строить математические модели применяя нейронные сети  2 Структура и трудоемкость дисциплины Таблица 1  Вид учебной работы  Всего часов Часов в семестре 6 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации зачет диф зачет экзамен  Экзамен  3 ",NEURO Python MATH
МАТЕМАТИЧЕСКОЕ МОДЕЛИРОВАНИЕ ПРИРОДНЫХ СИСТЕМ ,"  Предметом изучения являются методы численного компьютерного моделирования различных процессов в моделях которых используются основные математические методы  Освоение дисциплины поможет привить студентам навыки в постановке и реализации задач вычислительной математики практически решать типичные задачи требующие выполнения небольшого объема вычислений решать достаточно сложные в вычислительном отношении задачи требующие создания численного алгоритма и реализации компьютерной программы на ЭВМ  Цель изучения дисциплины  формирование у студентов профессиональных компетенций умений и навыков в области математического моделирования для решения задач прикладного характера с использованием современных языков программирования и пакетов прикладных программ моделирования  Задачи дисциплины        изучить основные понятия и методы численного решения типовых математических задач        овладеть практическими навыками в реализации численных алгоритмов        научить основам проведения вычислительного эксперимента а также анализа численного решения задач прикладного характера  11Место дисциплины в структуре образовательной программы  Дисциплина Методы вычислений входит в блок Б1 Дисциплины модули Базовая часть Для изучения и освоения дисциплины нужны первоначальные знания из курсов математического анализа линейной алгебры обыкновенных дифференциальных уравнений уравнений математической физики  Знания и умения практические навыки приобретенные студентами в результате изучения дисциплины будут использоваться при изучении курсов математического моделирования вычислительного практикума при выполнении курсовых и выпускных квалификационных работ связанных с математическим моделированием и обработкой наборов данных решением конкретных задач из механики физики и тп  12Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля  Код и наименование компетенции  Код и наименование части компетенции при наличии паспорта компетенций Планируемые результаты обучения знаниевыефункциональные ОПК1 Способностью решать стандартные задачи профессиональной деятельности на основе информационной и  Знает имеет четкое представление о видах математических моделей основанных на численных методах о способах построения и реализации алгоритма применяемого метода решения анализа полученных результатов оценки погрешности вычислений ', '4  библиографической культуры с применением информационнокоммуникационных технологий и с учетом основных требований информационной безопасности Умеет разрабатывать и самостоятельно реализовывать численные алгоритмы практических задач с помощью инструментальных средств и прикладных программ давать полный анализ результатов решения и оценивать границы применимости выбранного метода ОПК2 способностью применять в профессиональной деятельности знания математических основ информатики  Знает основные методы численного анализа имеет четкое представление о способах реализации математических моделей основанных на численных методах Умеет применять основные компоненты современных информационных технологий для реализации математических моделей основанных на численных методах  2 Структура и трудоемкость дисциплины Таблица 1  Вид учебной работы  Всего часов Часов в семестре 5 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 32 32 Практические занятия 34 34 Лабораторные  практические занятия по подгруппам   Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации экзамен  Экзамен  3 ",MATH ALG
МЕТОДЫ И СРЕДСТВА ПРОЕКТИРОВАНИЯ ПОЛЬЗОВАТЕЛЬСКОГО ИНТЕРФЕЙСА ," Дисциплина  Методы и средства проектирования пользовательского интерфейса  обеспечивает освоение технологий разработки программного рьеспечения ориентированного на стандарт визуальных оболочек Области применения полученных компетенций затрагивают практически каждого пользователя и специалиста позволяя разрабатывать приложения от простейших расчетных форм до многопользовательских программных комплексов с применением графического интерфейса и средств сети INTERNET Цель дисциплины сформировать у обучающихся представление о принципах создания приложений поддерживающих требования интерфейса операционной среды WINDOWS необходимое для понимания разработки клиентоориентированных прграммных продуктов  Задачи дисциплины  привить студентам знание способов использования основных компонент разработки приложений   дать опыт разработки собственных средств контроля и управления элементами программных систем   ознакомить студентов с принципами функционирования и управления специальными средствами WINDOWSпрограммирования реализация многозадачности COM технологии  11  Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в блок Б1 Базовая часть Для освоения данной дисциплины необходимы знания и умения приобретенные обучающимися в результате освоения следующих предшествующих данной дисциплин Языки программирования и Объектноориентированное программирование Компетенции приобретённые при освоении данной дисциплины будут полезны при изучении дисциплин Webтехнологии Алгоритмы и технологии параллельных и распределенных вычислений Проект Интеллектуальные системы поддержки принятия решений а также и других дисциплин характер практических работ которых предполагает разработку программных продуктов с использованием визуального интерфейса Кроме того студент может использовать приобретённые компетенции при выполнении научно исследовательской работы и ВКР  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование компетенции Планируемые результаты обучения знаниевыефункциональные ОПК2 Способен применять  современный математический аппарат связанный с проектированием разработкой реализацией и оценкой качества программных продуктов и программных комплексов в различных областях человеческой деятельности Знает  основные виды пакетов программ и инструментальных средств применяемых для разработки интерфейса Умеет  читать и понимать литературу по современным разработки пользовательского интерфейса выбирать модели технологии организации обмена информацией с пользователем программного обеспечения ОПК3 Способен применять современные информационные Знает  содержание основные этапы и тенденции развития программирования математического обеспечения и ', '4 технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения информационных технологий средства и приёмы построения объектных типов для организации программного продукта ориентированного на удовлетворение требований к пользовательскому интерфейсу Умеет  использовать современные технологии объектноориентированного и визуального программирования для создания программной модели реальных или виртуальных систем выполнять разработку программных продуктов  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 3 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 72 72 Лекции 20 20 Практические занятия 52 52 Лабораторные  практические занятия по подгруппам   Часы внеаудиторной работы включая самостоятельную работу обучающегося 72 72 Вид промежуточной аттестации экзамен  Экзамен  3 ",GUI CS
МЕТОДЫ И ТЕХНОЛОГИИ МАШИННОГО ОБУЧЕНИЯ ," Дисциплина Методы и технологии машинного обучения входит в базовую часть дисциплин учебного плана направления Математическое обеспечение и администрирование информационных систем  Целью преподавания дисциплины Методы и технологии машинного обучения является получение студентами теоретических знаний и практического опыта в области современных технологий и методов анализа данных с применением технологий машинного обучения В рамках практических занятий изучаются методы и подходы к анализу данных способы подготовки данных к использованию в алгоритмах и моделях машинного обучения а также современные модели и технологии анализа данных с использованием инструментов машинного обучения Практические занятия сопровождаются практикумом на ЭВМ где студенты самостоятельно выполняют поставленные перед ними задачи на разработку приложений и скриптов с использованием языка программирования Python и открытых технологий и библиотек анализа данных  Задачи дисциплины  освоение основ первичного анализа данных и предметной области поставленной задачи  знакомство и освоение базовых алгоритмов машинного обучения  получение навыков решения практических задач машинного обучения с применением современных технологий программирования  11  Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в блок Б1 дисциплины модули базовой части учебного плана Для изучения и освоения дисциплины нужны первоначальные знания из курсов информатики методов и технологий программирования математических основ анализа данных   12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование компетенции Код и наименование части компетенции  при наличии паспорта компетенций Планируемые результаты обучения   знаниевыефункциональные  ОПК1 Способность применять фундаментальные знания полученные в области математики и или естественных наук и использовать их в профессиональной деятельности  Знает математические основы методов анализа данных методы исполнения решений на всех этапах цикла принятия решений возможности современных технологий анализа данных модели представления знаний и области их применения Умеет определять назначение выбирать методы и средства для построения прикладных систем анализа данных ОПК2 Способен применять  современный математический  Знает основные виды задач и сферы применения машинного обучения этапы методы и технологии решения задач машинного обучения ', '4 аппарат связанный с проектированием разработкой реализацией и оценкой качества программных продуктов и программных комплексов в различных областях человеческой деятельности Умеет выбирать инструментарий для каждого этапа принятия решения определять назначение выбирать методы и средства для построения и реализовывать прикладные системы анализа данных  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 5 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 68 68 Лекции 32 32 Практические занятия 36 36 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 76 76 Вид промежуточной аттестации зачет  Экзамен  3 ",Python NEURO MATH
НАУЧНЫЙ СЕМИНАР «СОВРЕМЕННЫЕ ТЕХНОЛОГИИ РАЗРАБОТКИ ПРОГРАММНЫХ ПРОДУКТОВ И СИСТЕМ» ,"   Цели и задачи дисциплины  Цель дисциплины сформировать у обучающихся знания и навыки практического применения современных технологий разработки программного обеспечения ПО прикладных вычислительных систем различного назначения  Задачи дисциплины   сформировать представление о возможностях технологий разработки ПО   развить навыки проблематизации и целеполагания при определении функционала разрабатываемого ПО   обеспечить готовность к использованию методов моделирования при проектировании архитектуры систем и соответствующих вычислительных процессов  11 Место дисциплины в структуре основной образовательной программы Данная дисциплина входит в блок Б1 Базовая часть В соответствии с учебным планом образовательной программы изучение данной дисциплины предусмотрено в 8 семестре и опирается на знания умения и навыки приобретенные при изучении дисциплин Разработка приложений баз данных Языки программирования и других дисциплин связанных с изучением технологий программирования расширяя представления о современных технологиях разработки ПО и способах их применения  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины  Код и наименование компетенции Планируемые результаты обучения знаниевыефункциональные ОПК3 Способен применять современные информационные технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения Знает актуальные проблемы проектирования современных вычислительных систем основные типы технологий разработки систем обработки данных Умеет выбирать тип архитектуры для разработки вычислительных систем использовать технологии проектирования вычислительного процесса обработки данных ПК1  готовность к использованию метода системного моделирования при исследовании и проектировании программных систем Знает содержание и последовательность основных этапов разработки программных продуктов и систем обработки данных методологию системного моделирования и ее применение при разработке программных продуктов и систем обработки данных Умеет проектировать последовательность разработки ПО на основе системного подхода прогнозировать результаты выбора технологии разработки ПО для решения конкретной прикладной задачи использовать методы системного моделирования при разработке программных продуктов и систем обработки данных ', ' ПК2  готовность к использованию основных моделей информационных технологий и способов их применения для решения задач в предметных областях Знает особенности моделей современных технологий разработки ПО основные способы использования технологий программирования модели процесса разработки ПО Умеет разрабатывать ПО на основе различных технологий разработки экстремальное программирование agile и др применять основные модели информационных хранилищ и передачи данных паттерны программирования для решения конкретной прикладной задачи  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 8 семестр Общая трудоемкость зач ед 5 5 час 180 180 Из них Часы аудиторной работы всего 70 70 Лекции 10 60 Практические занятия 10 60 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 110 110 Вид промежуточной аттестации зачет диф зачет экзамен  Экзамен  3 ",
ОБРАБОТКА И АНАЛИЗ ТЕКСТА НА ЕСТЕСТВЕННЫХ ЯЗЫКАХ ,"  Целью курса является формирование у студентов представлений об основах автоматической обработки и анализа текста на естественном языке Задачи дисциплины изучение основных алгоритмов обработки естественного языка освоение методов классификации текстов и извлечения информации из неструктурированного текста приобретение навыков использования алгоритмов автоматического морфологического синтаксического и семантического анализа  11  Место дисциплины модуля в структуре образовательной программы  Дисциплина Обработка и анализ текстов на естественных языках находится в Б1 Часть формируемая участниками образовательных отношений федерального государственного образовательного стандарта высшего образования направления 020303 Математическое обеспечение и администрирование информационных систем В соответствии с учебным планом образовательной программы изучение данной дисциплины предусмотрено в 7 семестре и логически взаимосвязано с изучаемыми параллельно дисциплинами Дисциплина использует знания в областях технологий программирования объектноориентированного программирования методов и технологий машинного обучения математических основ искусственных нейронных сетей   12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля  Код и наименование компетенции Код и наименование части компетенции при наличии паспорта компетенций Планируемые результаты обучения знаниевыефункциональные ПК2 готовность к использованию основных моделей информационных технологий и способов их применения для решения задач в предметных областях  Знает принципы создания программ осуществляющих функции обработки и анализа естественного языка Умеет использовать современные библиотеки лингвистические ресурсы и компьютерные средства для выполнения основных задач связанных с анализом текста на естественном языке   2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 7 Общая трудоемкость зач ед 4 4 час 144 144 Из них ', ' Часы аудиторной работы всего 60 60 Лекции 16 16 Практические занятия 44 44 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 84 84 Вид промежуточной аттестации зачет диф зачет экзамен  Экзамен  3 ",NEURO Python
ОБЪЕКТНО-ОРИЕНТИРОВАННОЕ ПРОГРАММИРОВАНИЕ ,"  Актуальность дисциплины обусловлена тем что при изучении дисциплины студент получает знания о базовых принципах построения программ в объектноориентированном стиле программирования об объектах и классах о взаимодействии объектов между собой об иерархии классов Цели и задачи освоения дисциплины Программа дисциплины ориентирована на достижение следующих целей освоение базовых понятий объектноориентированного стиля программирования изучение стандартных классов овладение умением конструирования собственных классов формирование готовности использовать приобретенные знания в профессиональной деятельности   Исходя из целей в программе дисциплины Объектноориентированное программирование предусматриваются задачи сформировать у обучающегося необходимый объем знаний об объектноориентированном стиле научить строить классы разного уровня сложности сформировать умения разрабатывать программы в объектноориентированном стиле  11  Место дисциплины модуля в структуре образовательной программы  Данная дисциплина входит в блок Б1 Базовая часть Для освоения данной дисциплины необходимы знания и умения приобретенные обучающимися в результате освоения следующих предшествующих данной дисциплин школьный курс Информатики и ИКТ Языки программирования  12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля  Код и наименование компетенции Код и наименование части компетенции  при наличии паспорта компетенций Планируемые результаты обучения знаниевыефункциональные ОПК3 Способен применять современные информационные технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения  знает средства и приёмы построения объектных типов для организации программного продукта в рамках объектноориентированного подхода  умеет разрабатывать программные продукты с применением современных информационных технологий с учётом тенденции развития программирования и математического обеспечения разрабатывать программные продукты содержащих объектное представление для моделируемых процессов  ПК2 готовностью к использованию основных моделей информационных технологий и способов их  знает лексемы и операторные конструкции объектноориентированных языков программирования содержание основные этапы и тенденции ', ' применения для решения задач в предметных областях развития программирования математического обеспечения и информационных технологий основные положения объектноориентированного и визуального направлений программирования методы способы и средства разработки программ в рамках этих направлений  умеет применять возможности объектноориентированного подхода при разработке программ использовать современные информационные технологии в рамках объектноориентированного похода для разработки программных комплексов и математического обеспечения компьютеров использовать современные технологии объектноориентированного программирования для создания программной модели реальных или виртуальных систем  2 Структура и трудоемкость дисциплины  Таблица 1 Вид учебной работы  Всего часов Часов в семестре 2 Общая трудоемкость зач ед 5 5 час 180 180 Из них    Часы аудиторной работы всего 60 60 Лекции 20 20 Практические занятия 40 40 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 120 120 Вид промежуточной аттестации экзамен  Экзамен  3 ",CPP
ОТКРЫТЫЕ ТЕХНОЛОГИИ РАЗРАБОТКИ ПРОГРАММНОГО ОБЕСПЕЧЕНИЯ ,"  При изучении дисциплины студент получает представление о современных информационных технологиях учится создавать webсервисов проектов с использованием современных технологий учится формулировать проблему тему разработать цель и задачи исследования определить этапы и средства поиска оптимальных решений  11  Место дисциплины модуля в структуре образовательной программы  Дисциплина Открытые технологии разработки программного обеспечения относится к вариативной части блока 1 федерального государственного образовательного стандарта высшего образования направления 020303 Математическое обеспечение и администрирование информационных систем В соответствии с учебным планом образовательной программы изучение данной дисциплины предусмотрено в 7 семестре и логически взаимосвязано с изучаемыми параллельно дисциплинами Дисциплина использует знания в области объектноориентированного программирования расширяя представления о сущности и методах современных технологий программирования систем взаимодействующих с внешними сервисами   12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование общепрофессиональной компетенции Планируемые результаты обучения знаниевыефункциональные УК1 Способен осуществлять поиск критический анализ и синтез информации применять системный подход для решения поставленных задач Знает  основные тенденции развития информационных технологий и программирования методов и программных средств коллективной разработки ПО рынок открытых технологий и ПО перспективы применения суперкомпьютерных технологий Умеет сделать постановку задачи диагностировать уровень решения задачи использовать различные инструменты и технологии для разработки собственных сервисов и проектов и для коллективной разработки ПО  ПК1 готовностью к использованию метода системного моделирования при исследовании и проектировании программных систем Знает языки формализации функциональных спецификаций методы и приемы формализации задач методы и средства проектирования программного обеспечения методы и средства проектирования программных интерфейсов Умеет выбирать средства реализации требований к программному обеспечению вырабатывать варианты реализации программного обеспечения проводить оценку и обоснование рекомендуемых решений  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 7 Общая трудоемкость зач ед 4 4 час 144 144 Из них ', ' Часы аудиторной работы всего 60 60 Лекции 16 16 Практические занятия 44 44 Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 84 84 Вид промежуточной аттестации зачет диф зачет экзамен  Экзамен  3 ",WEB GUI MOBILE
ПРОГРАММИРОВАНИЕ ДЛЯ ВСТРОЕННЫХ СИСТЕМ ,"  Цель дисциплины сформировать у обучающихся понятие об основах программирования для встроенных систем и ведущих технологиях разработки  Задачи дисциплины        сформировать умение построения и анализа встроенных систем        развить навыки разработки приложений для встроенных систем  11  Место дисциплины модуля в структуре образовательной программы  Дисциплина Программирование для встроенных систем относится к вариативной части блока 1 федерального государственного образовательного стандарта высшего образования направления 020303 Математическое обеспечение и администрирование информационных систем В соответствии с учебным планом образовательной программы изучение данной дисциплины предусмотрено в 7 семестре и логически взаимосвязано с изучаемыми параллельно дисциплинами Дисциплина использует знания в области объектноориентированного программирования на языках Java C и C расширяя представления о сущности и методах современных технологий программирования для встроенных систем   12 Компетенции обучающегося формируемые в результате освоения данной дисциплины модуля Код и наименование общепрофессиональной компетенции Планируемые результаты обучения   знаниевыефункциональные ОПК3 Способен применять современные информационные технологии в том числе отечественные при создании программных продуктов и программных комплексов различного назначения Знает  основные понятия по программированию и проектированию встроенных систем связанных с аппаратным обеспечением принципы разработки специализированных приложений и общих программных систем практически в разрезе разработки системы более сложной общей системы Умеет разрабатывать и внедрять продукты состоящих из встроенных систем ПК2 готовностью к использованию основных моделей информационных технологий и способов их применения для решения задач в предметных областях Знает основные этапы компьютерного решения задач основные требования методологии программирования как технологической основы разработки ИТпроекта Умеет применять информационные технологии при проектировании и разработке ИТпроекта  2 Структура и трудоемкость дисциплины  Таблица 1  Вид учебной работы  Всего часов Часов в семестре 7 Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 64 64 Лекции 20 20 Практические занятия 44 44 ', ' Лабораторные  практические занятия по подгруппам 0 0 Часы внеаудиторной работы включая самостоятельную работу обучающегося 80 80 Вид промежуточной аттестации зачет диф зачет экзамен  Зачет  3 ",JAVA CPP CS
ПРОГРАММИРОВАНИЕ НА ЯЗЫКЕ JAVA ," Целью дисциплины Программирование на языке Java является формирование у обучающихся знаний и умений для решения прикладных задач посредством программ разработанных на языке программирования Java в том числе в составе высокоуровневой платформы Задачи дисциплины   сформировать умение моделировать объекты прикладной области в сущности пригодные для манипулирования ими в рамках программной системы   развить навыки проектирования программных систем для решения прикладных задач  обеспечить овладение технологиями для реализации программных систем в рамках решения прикладной задачи  11Место дисциплины модуля в структуре образовательной программы Дисциплина Программирование на языке Java находится в Б1 Часть формируемая участниками образовательных отношений федерального государственного образовательного стандарта высшего образования направления 020303 Математическое обеспечение и администрирование информационных систем Дисциплина Программирование на языке Java опирается на материалы таких дисциплин как Объектноориентированное программирование Языки программирования Дискретная математика расширяя представления о сущности и методах современных технологий программирования и программного обеспечения для решения прикладных задач  Разделы дисциплины и междисциплинарные связи с обеспечиваемыми последующими дисциплинами Таблица 1  пп Наименование обеспечиваемых последующих дисциплин Темы дисциплины необходимые для изучения обеспечиваемых последующих дисциплин 1 2 3 4 5 6 7 8 1  Разработка мобильных приложений         2 Производственная практика         3 Выполнение ВКР          12Компетенции обучающегося формируемые в результате освоения дисциплины модуля Таблица 2 Код и наименование компетенции  Код и наименование части компетенции  при наличии паспорта компетенций Планируемые результаты обучения знаниевыефункциональные ПК1 готовность к использованию  Знает основные подходы к моделированию объектов прикладной ', ' метода системного моделирования при исследовании и проектировании программных систем области для их представления в рамках программной системы Умеет реализовать модель данных прикладной области с помощью конструкций языка программирования Java  2 Структура и трудоемкость дисциплины модуля Таблица 3 Вид учебной работы Всего часов Часов в семестре 4 семестр Общая трудоемкость зач ед 4 4 час 144 144 Из них Часы аудиторной работы всего 66 66 Лекции 16 16 Практические занятия 0 0 Лабораторные  практические занятия по подгруппам 50 50 Часы внеаудиторной работы включая самостоятельную работу обучающегося 78 78 Вид промежуточной аттестации зачет диф зачет экзамен  Зачет  3 ",JAVA
